,1,2,3,4,5,6,7,8,9
TAGLN3 ,0.526362422,0.389967641,0.395418455,0.266743853,0.130349071,0.135799885,0.752079752,0.615684971,0.621135785
PRDX4 ,0.758478758,0.561167962,0.352955166,0.410518345,0.213207549,0.004994752,0.704710984,0.507400189,0.299187392
TARDBP ,-0.68083634,-0.502068212,-0.256794801,-0.515027242,-0.336259114,-0.090985703,-0.535400943,-0.356632815,-0.111359404
GART ,-0.023922823,-0.388573054,-0.278594929,-0.220667878,-0.585318109,-0.475339984,-0.117494511,-0.482144742,-0.372166617
PSMA1 ,-0.064440034,-0.302908074,-0.130209852,-0.186551228,-0.425019268,-0.252321045,-0.420041541,-0.658509581,-0.485811359
ACAD9 ,0.727438287,0.539828651,0.354300961,0.51810213,0.330492493,0.144964803,0.419310376,0.23170074,0.04617305
NUCB1 ,0.428939883,0.3816363,0.245188943,0.28192977,0.234626188,0.09817883,0.20619488,0.158891298,0.02244394
SYAP1 ,-0.942775564,-1.084750379,-1.067449325,-0.057825281,-0.199800096,-0.182499043,-1.061059285,-1.2030341,-1.185733046
GYS1 ,0.230299159,0.317808099,0.260185106,0.086811325,0.174320264,0.116697272,0.051829395,0.139338335,0.081715342
NIBAN2 ,-0.242909122,-1.468323506,-1.815536747,-0.334872348,-1.560286732,-1.907499973,-0.327409157,-1.552823541,-1.900036782
EEF2 ,-0.115790527,-1.015553357,-1.126528887,-0.495349221,-1.395112051,-1.506087581,-0.122143784,-1.021906614,-1.132882144
ERH ,0.298957323,0.455876041,0.381964104,0.247044517,0.403963236,0.330051298,0.003572173,0.160490891,0.086578954
AGR3 ,-0.820985456,-1.178433838,-1.590104831,-0.054249786,-0.411698168,-0.823369161,-0.416341083,-0.773789465,-1.185460459
PKP3 ,0.948712422,0.885937525,0.650590301,0.301597401,0.238822504,0.00347528,0.84050709,0.777732193,0.542384969
ZNF789 ,0.943737131,1.61660589,1.101844997,0.22004551,0.892914269,0.378153376,0.410006499,1.082875258,0.568114366
TUBB3 ,0.561972276,0.467010953,0.205620507,0.352979172,0.258017849,-0.003372596,0.451380275,0.356418952,0.095028506
EIF4A1 ,0.578635376,0.589737786,0.354657037,0.281553442,0.292655852,0.057575104,0.28667592,0.29777833,0.062697581
PABPC1L ,0.655276829,0.642487332,0.215626395,0.508480325,0.495690829,0.068829892,0.453958307,0.441168811,0.014307873
AARS1 ,-0.335927351,-0.529769866,-0.193122649,-0.276624167,-0.470466681,-0.133819464,-0.179090278,-0.372932792,-0.036285575
VPS29 ,-1.395086851,-1.351119193,-0.954306019,-0.559902725,-0.515935067,-0.119121893,-0.560650774,-0.516683115,-0.119869941
NEDD8 ,0.495032835,0.345750558,0.415851058,0.191841276,0.042558999,0.112659498,0.28540089,0.136118612,0.206219112
CAPNS1 ,-0.07839113,-0.206170408,-0.040323246,-0.226767705,-0.354546983,-0.18869982,-0.437633215,-0.565412493,-0.399565331
ALDH9A1 ,0.500159877,0.598768693,0.367166279,0.170558488,0.269167304,0.037564889,0.262308624,0.360917441,0.129315026
EIF2S3 ,0.486796027,0.390288867,0.420949982,0.202810234,0.106303074,0.136964188,0.211657572,0.115150412,0.145811526
PRKRA ,-0.837896651,-0.817731593,-0.483998693,-0.432528716,-0.412363657,-0.078630757,-0.378818905,-0.358653847,-0.024920947
IQGAP3 ,-0.112683121,-0.247578575,-0.416962829,-0.012923027,-0.147818481,-0.317202736,-0.125896111,-0.260791565,-0.43017582
VAT1 ,0.525016222,0.311559314,0.250757553,0.322890692,0.109433783,0.048632022,0.749221549,0.535764641,0.47496288
CROCC ,0.751404232,0.810076858,0.319026575,0.413563084,0.472235709,-0.018814574,0.530532041,0.589204666,0.098154383
AMOT ,1.370050163,1.129697186,0.559021773,0.911204199,0.670851222,0.100175809,0.855830718,0.615477741,0.044802328
SRP9 ,0.605015726,0.670836143,0.164275024,0.483994162,0.54981458,0.043253461,0.456080319,0.521900736,0.015339617
ACTN3 ,0.411125141,0.537975361,0.356254855,0.055907281,0.182757501,0.001036995,0.322369036,0.449219255,0.267498749
ESD ,-0.182224313,-0.075828301,0.012799221,-0.391962336,-0.285566323,-0.196938802,-0.330698029,-0.224302016,-0.135674495
KRT10 ,1.721550375,1.557999005,0.92043642,0.667772454,0.504221084,-0.133341501,1.439523248,1.275971878,0.638409293
ANXA3 ,0.223853918,0.347194488,0.211301661,0.027344415,0.150684984,0.014792158,0.147104155,0.270444725,0.134551899
FH ,-0.144756341,-0.359370843,-0.011775152,-0.2804335,-0.495048002,-0.147452311,-0.33076725,-0.545381752,-0.197786061
RPS8 ,0.768890533,0.602497376,0.226824106,0.597498834,0.431105676,0.055432406,0.556495546,0.390102388,0.014429118
DCTN2 ,0.590504396,0.746924104,0.201745183,0.522356399,0.678776108,0.133597187,0.342870349,0.499290057,-0.045888864
METAP2 ,-0.05361487,-0.483792878,-0.728403834,-0.080161844,-0.510339852,-0.754950807,-0.290374946,-0.720552954,-0.965163909
MTHFD1 ,1.035418125,0.80147171,0.427205585,0.711789878,0.477843463,0.103577339,0.619414841,0.385468426,0.011202302
RRAGA ,0.005450366,-0.14629407,-0.385184343,-0.225132439,-0.376876876,-0.615767148,-0.362835265,-0.514579702,-0.753469974
UBE2N ,1.468778725,1.433069434,1.501746853,0.278717281,0.24300799,0.31168541,1.09794266,1.062233369,1.130910788
